fid,message,to_user,created_date,comments_count,shares_count,likes_count,total_int,emoji,hash_tag,url,text cleaned,readability
100000201925350_10157402451824239,"[ THE FIRST SONG FOR MY SON ]
Trong một phút ngẫu hứng khi đang hát ru cho Kaká, mình bỗng ngân nga ra ca khúc này. Và không biết trùng hợp hay ngẫu nhiên mà khi vừa bắt đầu ca khúc, Kaká bỗng tập trung ánh nhìn vào mình và mình càng ngân nga thì cậu bắt đầu mếu. Lúc đó cả mình và mẹ Kaká cũng đột nhiên cay khoé mắt khi chứng kiến cảnh đấy, như kiểu cậu con trai đang thật sự xúc động khi nghe ba hát về mình. Cảm giác rất tuyệt vời không thể tả xiết. Cảm xúc đầu đời của cậu con trai bé bỏng mới hơn 3,5 tháng.
Bài hát tuy ngắn và khá đơn giản nhưng thật sự quá ý nghĩa với mình nên mình sẽ lưu lại như một món quà tinh thần đầu tiên mình gửi đến con trai ^^",100000201925350,2019-02-17 05:53:00,8,0,66,74,[],[],[],the first song for my son trong một phút ngẫu hứng khi đang hát ru cho kaká mình bỗng ngân nga ra ca khúc này và không biết trùng hợp hay ngẫu nhiên mà khi vừa bắt đầu ca khúc kaká bỗng tập trung ánh nhìn vào mình và mình càng ngân nga thì cậu bắt đầu mếu lúc đó cả mình và mẹ kaká cũng đột nhiên cay khóe mắt khi chứng kiến cảnh đấy như kiểu cậu con trai đang thật sự xúc động khi nghe ba hát về mình cảm giác rất tuyệt vời không thể tả xiết cảm xúc đầu đời của cậu con trai bé bỏng mới hơn tháng bài hát tuy ngắn và khá đơn giản nhưng thật sự quá ý nghĩa với mình nên mình sẽ lưu lại như một món quà tinh thần đầu tiên mình gửi đến con trai,12.146798360655737
100000201925350_2537914056225300,Kiếm người về team đây anh chị em bạn dì yêu nghề ơiiii,100000201925350,2019-02-15 02:04:00,4,0,4,8,[],[],[],kiếm người về team đây anh chị em bạn dì yêu nghề ơiiii,8.488463636363637
100000201925350_10157394952004239,"“Cô Tiên” là có thật mọi người ạ. Mấy hôm trước đang nằm ôm con buộc miệng nói “ước gì có cây đàn để đàn hát cho Kaká nghe”. Thế là sáng nay mở mắt ra thì nhận được quà luôn, lại đúng hiệu đàn mà mình thích và đang tích góp để mua nữa chứ.
Vì cảm thấy “Cô Tiên” quá tuyệt vời lại còn hiểu thấu tâm can của mình nên mình bắt về làm vợ luôn ;;)) hehe, yêu cô tiên Đinh Hoài Thu lắm lắm lắm nhaaaaa :3
#MyValentine",100000201925350,2019-02-14 05:35:00,6,0,64,70,[],['MyValentine'],[],cô tiên là có thật mọi người ạ mấy hôm trước đang nằm ôm con buộc miệng nói ước gì có cây đàn để đàn hát cho kaká nghe thế là sáng nay mở mắt ra thì nhận được quà luôn lại đúng hiệu đàn mà mình thích và đang tích góp để mua nữa chứ vì cảm thấy cô tiên quá tuyệt vời lại còn hiểu thấu tâm can của mình nên mình bắt về làm vợ luôn hehe yêu cô tiên đinh hoài thu lắm lắm lắm nhaaaaa,9.494685714285714
100000201925350_10157386038789239,Nhà Kaka đi chơi Tết đây ^^ Tết là cả tháng Giêng nha ;;),100000201925350,2019-02-10 12:37:00,14,0,288,302,[],[],[],nhà kaka đi chơi tết đây tết là cả tháng giêng nha,5.617554545454546
100000201925350_2528122620537777,Ủng hộ anh Tôn sau ca khúc Người Thương ☺️,100000201925350,2019-02-09 15:31:00,2,0,11,13,['☺'],[],[],ủng hộ anh tôn sau ca khúc người thương,0.3472
100000201925350_2521278977888808,"Ba nó lì xì cho tôi các bác ạ! Tôi mừng quá hihi
#pigyear2019 #luckymoney #lunarnewyear",100000201925350,2019-02-05 15:24:00,0,0,70,70,[],"['pigyear2019', 'luckymoney', 'lunarnewyear']",[],ba nó lì xì cho tôi các bác ạ tôi mừng quá hihi,6.863366666666666
100000201925350_2719613164723195,"- Chúc mừng Năm Mới -

Mỗi cuối năm, mình lại ngồi nghĩ xem mình rốt cuộc đã làm được những gì và để mất những gì trong năm cũ rồi. Năm nào cũng sẽ có vui có buồn, nhưng mà tới năm nay, khoảnh khắc cuối cùng điểm lại, mình đã mãn nguyện và hạnh phúc biết bao nhiêu, vì những người mình yêu thương và yêu thương mình - những người quan trọng nhất đời mình, vẫn còn y nguyên đấy. Chẳng ai bỏ mình chạy đi đâu cả!

Trải qua bao nhiêu biến cố để lớn lên, con người mình có vẻ vẫn thế, chưa bao giờ thay đổi hay tiến bộ được, vẫn quá nồng nhiệt đồng thời quá phũ phàng. Vẫn là kiểu người trong lúc gian khổ bi thương thì cố gắng vươn lên nhưng nếu bình thường chỉ gặp một nỗi buồn đơn giản cũng có thể tự hủy hoại tất cả mọi thứ kể cả bản thân. Một kiểu người thật sự rất tệ và rất mệt. Vậy mà có bao nhiêu người đã chấp nhận mình chứ!? Bao nhiêu người Chị! Bao nhiêu người Anh. Bao nhiêu đứa em! Và cả con Bạn đã đẻ cho mình thằng Sao quý báu! Cả Wall.E của mình! Cả Siêu Mẹ Chồng của mình và tất nhiên, anh Hiếu của riêng mình. Nhiều hơn rất rất nhiều so với những giấc mơ thuở bé mình trăm lần ao ước! Thật đáng chúc mừng!

Cảm ơn tất cả - những người đã bên Trầm và yêu thương Trầm, cùng Trầm trải qua hết năm này đến năm khác cùng cả những niềm vui và nỗi buồn. Yêu thương mọi người nhiều hơn tất cả những gì hằng ngày Trầm vẫn nói rất nhiều! Năm mới, mong cho chúng mình sức khỏe và bình an để bên nhau tiếp nữa <3

Chúc mừng Năm Mới :*",100000201925350,2019-02-05 01:27:00,6,1,137,144,[],[],[],chúc mừng năm mới mỗi cuối năm mình lại ngồi nghĩ xem mình rốt cuộc đã làm được những gì và để mất những gì trong năm cũ rồi năm nào cũng sẽ có vui có buồn nhưng mà tới năm nay khoảnh khắc cuối cùng điểm lại mình đã mãn nguyện và hạnh phúc biết bao nhiêu vì những người mình yêu thương và yêu thương mình những người quan trọng nhất đời mình vẫn còn y nguyên đấy chẳng ai bỏ mình chạy đi đâu cả trải qua bao nhiêu biến cố để lớn lên con người mình có vẻ vẫn thế chưa bao giờ thay đổi hay tiến bộ được vẫn quá nồng nhiệt đồng thời quá phũ phàng vẫn là kiểu người trong lúc gian khổ bi thương thì cố gắng vươn lên nhưng nếu bình thường chỉ gặp một nỗi buồn đơn giản cũng có thể tự hủy hoại tất cả mọi thứ kể cả bản thân một kiểu người thật sự rất tệ và rất mệt vậy mà có bao nhiêu người đã chấp nhận mình chứ bao nhiêu người chị bao nhiêu người anh bao nhiêu đứa em và cả con bạn đã đẻ cho mình thằng sao quý báu cả wall e của mình cả siêu mẹ chồng của mình và tất nhiên anh hiếu của riêng mình nhiều hơn rất rất nhiều so với những giấc mơ thuở bé mình trăm lần ao ước thật đáng chúc mừng cảm ơn tất cả những người đã bên trầm và yêu thương trầm cùng trầm trải qua hết năm này đến năm khác cùng cả những niềm vui và nỗi buồn yêu thương mọi người nhiều hơn tất cả những gì hằng ngày trầm vẫn nói rất nhiều năm mới mong cho chúng mình sức khỏe và bình an để bên nhau tiếp nữa < chúc mừng năm mới,18.276046360153256
100000201925350_2519796441370395,Năm mới mẹ bỉm sữa sẽ comeback ạ ☺️,100000201925350,2019-02-04 16:52:00,0,1,30,31,['☺'],[],[],năm mới mẹ bỉm sữa sẽ comeback ạ,7.9808
100000201925350_2040098816059841,"Happy new year everyone 🥂

Một năm cũ đã đi qua với biết bao dư vị, những năm gần đây mỗi đêm 30 mình đều thở phào nhẹ nhõm vì cuối cùng đã cán đích sau một năm sóng gió. Nhưng năm nay vẫn nguyên vẹn cảm giác cả cơ thể lẫn tâm trí đều rã rời nhưng vẫn thở nhẹ vì đã lại về đích rồi nhưng năm nay thì may mắn hơn nữa mình đã chạm được vào hai từ TRƯỞNG THÀNH. Bằng tất cả con tim và lý trí nữa, mình đã biết trưởng thành nghĩa là thế nào nó nhiều nấc ra sao và sẽ phải mất mát những gì. Đôi khi trưởng thành còn biến mình thành một con người mình không mong muốn nữa nhưng mà cũng không sao đâu, mình biết mọi ngã rẽ đều chỉ để khiến mình đi đúng hướng hơn mà thôi 😊

Tạm biệt 2018, một năm nhiều thử thách và mình tin dù không phải là một học sinh xuất sắc nhưng sẽ không bao giờ yếu kém vì cả gia tài vẫn còn nguyên với tình yêu của Gia Đình cùng nụ cười con trẻ và đằng sau cánh cửa luôn có những người anh chị em cực phẩm để gặp gỡ mỗi ngày ❤️

Chào đón 2019, mình đã sẵn sàng xuất phát !

Bộ ảnh trước tết siêu nhắng vẫn by siêu ông anh Nguyễn Trung Hiếu hihi",100000201925350,2019-02-04 16:46:00,6,0,133,139,"['🥂', '😊', '❤']",[],[],happy new year everyone một năm cũ đã đi qua với biết bao dư vị những năm gần đây mỗi đêm mình đều thở phào nhẹ nhõm vì cuối cùng đã cán đích sau một năm sóng gió nhưng năm nay vẫn nguyên vẹn cảm giác cả cơ thể lẫn tâm trí đều rã rời nhưng vẫn thở nhẹ vì đã lại về đích rồi nhưng năm nay thì may mắn hơn nữa mình đã chạm được vào hai từ trưởng thành bằng tất cả con tim và lý trí nữa mình đã biết trưởng thành nghĩa là thế nào nó nhiều nấc ra sao và sẽ phải mất mát những gì đôi khi trưởng thành còn biến mình thành một con người mình không mong muốn nữa nhưng mà cũng không sao đâu mình biết mọi ngã rẽ đều chỉ để khiến mình đi đúng hướng hơn mà thôi tạm biệt một năm nhiều thử thách và mình tin dù không phải là một học sinh xuất sắc nhưng sẽ không bao giờ yếu kém vì cả gia tài vẫn còn nguyên với tình yêu của gia đình cùng nụ cười con trẻ và đằng sau cánh cửa luôn có những người anh chị em cực phẩm để gặp gỡ mỗi ngày chào đón mình đã sẵn sàng xuất phát bộ ảnh trước tết siêu nhắng vẫn by siêu ông anh nguyễn trung hiếu hihi,15.537869072164947
100000201925350_2519156618101044,"Hương lá mùi già tắm tất niên quá đã 🛁
Chỉ có thể là Tết Hà Nội 👌",100000201925350,2019-02-04 07:46:00,4,0,73,77,"['🛁', '👌']",[],[],hương lá mùi già tắm tất niên quá đã chỉ có thể là tết hà nội,5.495915384615385
