;;;;
1;ABC;ORG;Công ty Truyền thông ABC;0.000683
2;ADB;ORG;Ngân hàng Phát triển châu Á;0.000791
3;ADN;DNA;AND;0.000539
4;ANĐT;;an ninh điều tra;0.000196
5;ATGT;;An toàn Giao thông;0.000252
6;ATM;;Máy rút tiền tự động;0.001958
7;ATNĐ;;áp thấp nhiệt đới;0.00022
8;ATTT;;An toàn Trật tự;0.000002
9;ATTTGT;;An toàn Trật tự Giao thông;0.000003
10;ATVSTP;;an toàn vệ sinh thực phẩm;0.000079
11;BBCVT;ORG;Bộ Bưu chính Viễn thông;0.000025
12;BBT;ORG;Ban biên tập;0.000138
13;BC;Bán công, Bưu chính;0.001078
14;BCĐ;ORG;Ban chỉ đạo;0.000119
15;BCĐĐMĐH;ORG;Ban chỉ đạo đổi mới đại học;0.000003
16;BCĐPCTNTƯ;ORG;Ban chỉ đạo phòng chống tham nhũng trung ương;0.000004
17;BCĐQG;ORG;Ban chỉ đạo Quốc gia;0.000001
18;BCĐT;;Bưu chính điện tử;0.000008
19;BCĐTS;ORG;Ban chỉ đạo tuyển sinh;0.000005
20;BCHCD;ORG;Ban chỉ huy chiến dịch;0.000001
21;BCHQS;ORG;Bộ chỉ huy quân sự;0.00002
22;BCHTƯ;ORG;Ban chỉ huy trung ương;0.000029
23;BCHTW;ORG;Ban chỉ huy trung ương;0.000025
24;BCVT;ORG;Bưu chính Viễn thông;0.000553
25;BD;ORG;Bình Dương;0.000575
26;BĐ;;Bóng đá;0.000783
27;BĐN;LOC;Bồ Đào Nha;0.000163
28;BĐS;;bất động sản;0.001204
29;BĐVN;ORG;Bóng đá Việt Nam;0.000097
30;BGD;ORG;Bộ Giáo dục;0.000097
31;BGDĐT;ORG;Bộ Giáo dục và Đào tạo;0.000039
32;BGH;ORG;Ban giám hiệu;0.000094
33;BGK;ORG;Ban giám khảo;0.000336
34;BH;;Bảo hiểm;0.000419
35;BHĐC;;bán hàng đa cấp ;0.000076
36;BHL;ORG;Ban huấn luyện;0.001123
37;BHV;ORG;Ban huấn luyện;0.000083
38;BHXH;ORG;Bảo hiểm xã hội;0.001234
39;BHYT;ORG;Bảo hiểm y tế;0.002012
40;BIDV;ORG;Ngân hàng Đầu tư và Phát triển Việt Nam;0.000492
41;BK;;Bách khoa;0.000207
42;BKS;ORG;Ban Kiểm soát, biển kiểm soát;0.000339
43;BLHS;;Bộ luật Hình sự;0.000123
44;BP;ORG;Biên phòng;0.000344
45;BQL;ORG;Ban quản lý;0.00084
46;BQLDA;ORG;Ban Quản lý dự án;0.000112
47;BSC;ORG;Công ty Chứng khoán Ngân hàng Đầu tư & Phát triển Việt Nam;0.000092
48;BT;;bảo trì, bộ trưởng;0.000434
49;BTA;;Hiệp định Thương mại Việt - Mỹ;0.000316
50;BTBNN;;bảo trợ bệnh nhân nghèo;0.000077
51;BTC;ORG;Ban tổ chức;0.003648
52;BTS;ORG;Ban tuyển sinh;0.000175
53;BTV;PER;Biên tập viên;0.000182
54;BTVH;;Bổ túc Văn hóa;0.000037
55;BV;ORG;Bện viện;0.008244
56;BVĐK;ORG;Bệnh viện Đa khoa;0.000146
57;BVTV;;Bảo vệ thực vật;0.000134
58;BX;ORG;Bến xe;0.000221
59;BXL;ORG;Bộ xử lý;0.000088
60;CAHN;ORG;Công an Hà Nội;0.000093
61;CAND;ORG;Công an Nhân dân;0.000321
62;CATP;ORG;Công an Thành phố;0.000232
63;CB;;Cơ bản, Cán bộ, Chế biến;0.000744
64;CBCC;PER;cán bộ công chức;0.000164
65;CBCNV;PER;Cán bộ công nhân viên;0.000338
66;CBQLGD;PER;cán bộ quản lý giáo dục;0.000179
67;CCB;PER;Cựu chiến binh;0.000168
68;CCHC;;cải cách hành chính;0.000336
69;CĐ;;Cao đẳng;0.016276
70;CĐDC;;chất độc da cam ;0.000163
71;CĐSP;ORG;Cao đẳng Sư phạm;0.0004
72;CĐV;PER;Cổ động viên;0.001514
73;CG;ORG;Nhóm các nhà tài trợ cho Việt Nam;0.000135
74;CHDC;;Cộng hòa Dân chủ;0.000129
75;CHDCND;;Cộng hòa Dân chủ Nhân dân;0.00186
76;CHLB;;Cộng hòa Liên bang;0.000467
77;CHND;;Cộng hòa Nhân dân;0.000133
78;CK;;Chứng khoán;0.000396
79;CLB;ORG;Câu lạc bộ;0.01458
80;CMND;;Chứng minh nhân dân;0.001271
81;CNCN;ORG;Chi nhánh Cấp nước;0.000123
82;CNH;;Công nghiệp hóa;0.000091
83;CNKT;PER;công nhân kỹ thuật;0.000095
84;CNQSDĐ;;chứng nhận quyền sử dụng đất;0.000092
85;CNSH;;Công nghệ sinh học;0.000102
86;CNTN;PER;cử nhân tài năng ;0.000097
87;CNTT;;Công nghệ thông tin;0.004661
88;CNV;PER;Công nhân viên;0.000394
89;CNVC;PER;Công nhân viên chức;0.000074
90;COPD;;bệnh phổi tắc nghẽn mãn tính;0.000109
91;CP;;Cổ phần, cổ phiếu;0.003568
92;CPE;;Hợp đồng lao động đầu tiên;0.000125
93;CPH;;Cổ phần hóa;0.000818
94;CPP;ORG;Đảng Nhân dân Campuchia;0.000161
95;CPSXTM;;cổ phần Xây dựng sản xuất thương mại;0.000001
96;CPTD;;cổ phiếu tự do;0.003568
97;CPTTT;;chậm phát triển trí tuệ;0.000008
98;CPXD;;cấp phép xây dựng;0.000141
99;CQĐT;ORG;Cơ quan điều tra;0.002575
100;CSCĐ;ORG;cảnh sát cơ động;0.000076
101;CSDC;ORG;cảnh sát dã chiến;0.000003
102;CSDL;;Cơ sở Dữ liệu;0.00004
103;CSĐN;ORG;cảnh sát đặc nhiệm;0.000015
104;CSĐT;ORG;Cảnh sát điều tra, cơ sở đào tạo;0.002726
105;CSĐTLX;;cơ sở đào tạo lái xe;0.000003
106;CSĐTTP;ORG;Cảnh sát Điều tra tội phạm;0.00011
107;CSĐTTPMT;ORG;Cảnh sát điều tra tội phạm ma túy;0.000003
108;CSG;ORG;Cảng Sài Gòn;0.001528
109;CSGT;ORG;Cảnh sát giao thông;0.004006
110;CSHS;ORG;Cảnh sát Hình sự;0.000134
111;CSKH;;Chăm sóc khách hàng;0.000015
112;CSKT;ORG;Cảnh sát kinh tế;0.000027
113;CSKV;ORG;Cảnh sát khu vực;0.000035
114;CSPCTPMT;ORG;Cục cảnh sát phòng chống tội phạm ma túy;0.000002
115;CSPK;;công suất phản kháng;0.000009
116;CSQLHC;ORG;Cảnh sát Quản lý hành chính;0.000004
117;CSSD;ORG;Đảng Xã hội Dân chủ cánh tả;0.000007
118;CSSX;;cơ sở sản xuất;0.000038
119;CSVC;;Cơ sở vật chất;0.000018
120;CSVL;ORG;Cao su Việt - Lào ;0.000005
121;CSVN;ORG;Cộng sản Việt Nam;0.000051
122;CSXH;;chính sách xã hội;0.000052
123;CT;;Chính trị, Công ty;0.003486
124;CTCC;;Công trình Công cộng;0.00002
125;CTCH;;chấn thương chỉnh hình;0.00002
126;CTCK;ORG;công ty chứng khoán;0.000051
127;CTCLQG;ORG;Chương trình chống lao quốc gia;0.000001
128;CTCN;ORG;Công ty Cấp nước;0.000051
129;CTCP;ORG;Công ty Cổ phần;0.000026
130;CTĐ;;Chữ thập đỏ;0.000097
131;CTĐL;ORG;Công ty Điện lực;0.000407
132;CTN;;chuyển tiền nhanh;0.000061
133;CTSN;;Chấn thương sọ não;0.000073
134;CTTC;;cho thuê tài chính ;0.000032
135;CTTH;;chương trình truyền hình;0.000036
136;CTTNHH;ORG;Công ty Trách nhiệm Hữu hạn;0.000003
137;CTTT;;chương trình tiên tiến;0.000068
138;CTV;PER;cộng tác viên;0.000126
139;CTXH;;Công tác xã hội ;0.000137
140;CV;PER;Chuyên viên;0.000655
141;CVPM;ORG;Công viên phần mềm ;0.000051
142;CX;;Cư xá;0.000105
143;DAGTĐT;;dự án giao thông đô thị;0.000003
144;ĐATP;ORG;Đông Á - Thép Pomina ;0.00048
145;ĐB;;Đại biểu, Đồng bằng;0.004442
146;ĐBDT;;đồng bào dân tộc;0.00001
147;ĐBP;;Điện Biên Phủ;0.000123
148;ĐBQH;PER;Đại biểu quốc hội;0.000446
149;ĐBSCL;LOC;Đồng bằng sông Cửu Long;0.003476
150;ĐBTN;PER;Đại biểu thanh niên;0.000013
